section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T15+T16,90.62715,127.56268601002506,216.34625,98.8235,19.277870626566415,57.40183244611529,3.0,30.09649143123958,85.5,68.96637931045895,545.5094746727849,469.42525,0
T13+T14,91.28705,125.00614848184819,195.97925,100.0,18.35980077007701,53.387415110011005,3.0,35.03865854215776,91.5,74.50192692006438,702.0427136899009,312.2474999999997,0
T8+T9,127.59975,155.50159112745098,194.7814,99.8039,13.753170784313726,71.77732007352941,3.0,15.896142444304875,60.0,27.403102146485686,157.34256892121,365.79964999999993,1
T1-T3,115.48410000000001,155.96626563562924,250.68665,92.15685,17.708072523384352,65.09897838541667,3.0,26.997362107770293,79.5,63.596855537743906,549.8701504198818,559.6150499999999,2
T6,78.35505,112.74695745225648,167.31900000000002,79.41175000000001,14.461041048757068,60.47204974394538,2.0,35.42653162891264,104.0,49.69250556684736,248.7740739741015,284.3917500000001,3
T10-T12,102.93735,142.3936963106295,200.5112,69.0196,14.174103044375645,55.60633008255934,3.0,30.308295147114805,83.0,71.61731004637683,482.86095737169,402.12075000000004,4
T4+T5,118.41385,150.5198836372847,209.50635,77.451,15.061883156028369,49.99333063576495,3.0,28.482771098550437,89.0,71.52129129126592,517.9323740391252,349.5406499999999,4
