section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,66.68575,88.80814783001807,130.7431,77.25489999999999,13.692007866184449,41.1066646602945,1.0,73.38279279701396,130.5,77.6045764976293,321.72269201322865,164.35270000000037,0
T10,67.44104999999999,115.82299511494253,223.96429999999998,100.0,26.701881591235633,35.58724093031609,1.0,46.90652238030201,117.3125,31.848754126714155,243.37344769894548,261.73235,1
T13,95.4528,113.70833194444444,155.4246,99.0196,20.141840856481483,43.24799982638889,1.5,26.56616191854675,81.7656,37.102992854779515,147.32014008511254,140.93235000000004,1
T11+T12,97.81415000000001,117.44106270588236,147.5929,47.0588,2.111765,56.84177538235294,1.5,53.27739161949634,115.96875,33.75028892869236,212.14614555565788,326.70035000000007,1
T4,109.18209999999999,132.60178823529412,202.12484999999998,100.0,13.811400727713766,54.25349367293309,1.5,34.16000811116936,105.71875,27.36985611688499,230.85556042772254,327.5304500000001,1
T5,84.86305,120.6321052942931,183.68045,100.0,15.829423936170215,49.358419193676674,1.5,43.17174604331264,124.3125,32.65788757072045,184.09856451705446,307.4118500000001,1
T7,109.31944999999999,139.876486826392,196.39505000000003,100.0,16.165857926556203,63.40652601134497,2.0,37.042245490285524,92.5469,32.86247490206957,174.39596181002472,289.06125,1
T1+T2,106.76740000000001,162.8277029670166,267.5555,100.0,21.670863807609262,52.25040252773435,2.0,45.90459929287291,115.5625,63.247651770509265,685.236338486042,484.10754999999995,2
T3,146.8452,172.28111413770776,214.18705,0.0,0.0,85.6580435067271,2.5,25.41791161711894,85.5,16.847000049464846,184.3482787394058,523.6205,3
T16,119.77185,161.09592261731274,195.5787,0.0,0.0,97.08566301369862,2.0,26.560996618972595,85.5625,31.74487899420569,182.78555141002403,279.97620000000006,3
T9,144.38085,164.25163952751367,189.4789,71.37254999999999,4.179390168539326,70.83900962978969,2.5,21.058164871225657,62.1406,24.8437715698866,122.92895494131844,342.3813,3
