section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T3,145.9297,167.54325862068964,187.7317,0.0,0.0,99.60779999999998,3.0,7.165163680668524,29.0,16.957450357251584,94.3106699643348,231.8791,0
T7,75.4253,99.05732407407407,164.3778,97.2549,33.021061111111116,13.790851851851853,1.0,40.2704109810812,71.0,61.755475515686186,328.86544221033796,129.07370000000037,1
T9,65.0187,101.37708313253012,189.5094,97.2549,31.56626385542169,36.456403614457834,1.0,50.87166404216258,127.0,37.91052033407183,184.3246261711319,200.38750000000027,1
T11,73.1136,114.85144868421052,200.2213,98.0392,33.998967105263155,51.22290131578948,1.0,32.009637531986456,64.0078,34.128518554659514,234.47734931638817,272.2249999999999,2
T2,112.0241,129.45805405405406,168.6961,78.0392,14.207735135135135,49.21038108108108,2.0,23.13937456606628,75.0,29.498218648656998,177.16127153455054,231.56590000000006,2
T4,131.3649,150.7981907894737,194.6746,93.3333,18.39009342105263,62.29616447368421,3.0,15.621717560390868,58.0,20.79747670276794,114.60751234806568,274.9188999999999,2
T5,93.6217,130.19015411764707,212.0089,93.3333,29.808529411764706,49.91464117647059,1.0,17.549389786077004,44.0,23.256216898350843,90.70607333842054,268.25869999999986,2
T1,116.2661,135.80702133333332,187.3579,97.2549,17.118956,46.10717866666666,2.0,28.14275244777891,84.0,26.961066957587086,168.68882248425356,246.46929999999998,2
T8,90.074,125.38394210526316,164.6906,0.0,0.0,85.25075263157895,1.0,20.88531538256696,75.0,33.02231630637128,299.2735933949557,290.8207000000002,3
