section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,74.5556,113.80395974025973,212.7642,100.0,31.44385064935065,50.465992207792205,3.0,38.6131007976341,119.0,36.6942518376532,144.46194256003588,208.45130000000006,0
T14,88.3955,131.79427931034482,215.3201,100.0,26.37593620689655,56.45704827586207,2.0,32.99886962278557,96.0,45.16119463002024,218.0973826773666,267.05960000000005,0
T8,87.3579,132.0255625,218.3261,100.0,28.186273214285713,49.85992857142857,2.0,23.353790538853566,78.0,29.080313653204964,104.95522678911948,260.06719999999996,0
T6,98.4665,129.7235,175.2346,92.549,16.133734615384615,65.23376794871795,2.0,28.472410594063565,104.0,42.269218346112204,174.76941659683183,241.5426,0
T9-T11,78.3246,135.22918369565218,196.0555,100.0,14.433078260869566,69.322225,2.0,50.94197497132284,127.0,41.490416122351704,278.87532971123966,446.46399999999994,1
T12,148.3635,156.9579827586207,184.2908,100.0,12.927651724137931,62.961441379310344,4.0,23.770306437196524,62.0,55.49076759692848,148.9251464166679,159.51870000000008,2
T1,161.3184,186.8541366197183,255.7488,100.0,20.54680985915493,67.95358028169014,3.0,21.229805492553762,65.0,31.78456081339599,151.61324055542948,315.84360000000004,2
T4+T5,106.8742,129.16443032786884,171.191,100.0,13.590486885245902,61.94147786885246,2.0,24.97219566818116,88.0,51.79523384940107,536.0727193547118,378.5578999999998,3
