section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,68.4596,112.24709772727273,210.399,100.0,44.09982272727273,50.97146136363636,2.0,39.84866098019299,127.0,44.697504059103174,255.89758529163672,207.1182,0
T14,90.2342,131.64085,213.1151,100.0,28.180830555555556,60.41393055555555,2.0,33.870690714774284,114.0,69.17179655417347,229.69745325340264,269.4684000000002,0
T8,85.6641,128.71253529411766,216.4263,100.0,31.845441176470587,55.62859117647059,2.0,31.84612473306634,94.0,63.074259901301865,344.4205192266338,254.33380000000034,0
T4+T5,102.8305,127.1420568627451,170.9926,100.0,19.546327450980392,64.14454117647058,2.0,31.745451841271716,100.0,62.419509759684715,250.91590946300616,372.70730000000003,0
T6,98.5122,127.946425,175.5703,100.0,16.997546875,64.742628125,2.0,28.509634020445578,97.0,43.45419254423556,142.20495228185604,233.37200000000007,1
T12,144.6708,157.71926315789474,188.4794,89.4118,13.312694736842106,62.662521052631575,3.0,29.76818771798441,71.0,57.15325734235596,247.43273222444765,165.5996,1
T1,161.3184,186.66005777777778,253.0175,100.0,21.48148,65.88232888888889,4.0,26.319415595669017,75.0,38.670740226790855,117.60283766376608,311.0179,2
T9-T11,81.9486,134.31044210526315,190.9972,100.0,17.784657894736842,71.36564385964913,2.0,50.91053456530079,127.0,65.07558180792384,473.0196764369392,445.3020999999999,3
