section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T11,114.95809444444444,136.90853615209892,195.96017777777777,99.65141111111112,26.33628090569348,49.11210381598933,1.9444444444444444,31.91456219272167,87.77777777777777,65.69985088185439,287.9579051143056,183.17761666666667,0
T14+T15,138.19503333333333,165.52097229379055,245.32268333333332,99.56426666666667,31.727075277081934,49.96995221990533,2.5,35.075952179599234,65.1046,64.3615695366502,344.2279504691621,210.00643888888897,0
T5,132.66237222222222,151.33780725974793,198.84286111111112,99.91284999999999,29.5382751555583,44.42728433371158,2.2222222222222223,25.33875371117761,78.79166666666667,52.28784982973507,236.35223277189527,176.14519444444443,0
T13,221.1002611111111,232.2267381126536,241.52615555555556,0.0,0.0,99.65138333333333,4.0,8.146996185541601,23.27865,13.51802690105387,55.22403001471433,260.7649944444444,1
T9+T10,178.05710555555555,191.05298913558758,209.32495555555556,4.139433333333333,0.21567714579659025,82.6795450055508,3.0,33.42614272043639,69.75694444444444,43.200726715724144,249.48407547067032,371.8222166666667,1
T6,86.9281,115.81072109790128,162.8103722222222,75.7952111111111,8.606452483945354,66.71019283260624,1.3333333333333333,41.2050234893069,115.35069444444444,52.358430705480785,273.86857967749177,192.4254111111111,2
T2,104.00423888888889,122.75980727582578,155.74841666666669,44.008716666666665,3.8049116415231077,59.58749927390896,1.8888888888888888,29.832471659881826,92.96180555555556,54.43611718071867,308.72314492677276,202.84092222222222,2
T12,118.05566111111112,143.66493724501694,183.48210555555556,76.57951666666666,7.184073107301913,65.60251493781583,1.8888888888888888,30.628643948852982,85.30946111111112,40.3467959089749,239.3927065456296,254.43361111111102,2
T4,96.94692222222221,121.34138089941007,159.82639444444445,11.917216666666668,0.6484958017477714,79.15158390592626,1.3888888888888888,36.15019511310906,98.75694444444444,55.13279435591137,288.16335448923934,165.84303888888883,2
T3,74.88619444444444,97.65891699676601,160.79151666666667,97.51633333333332,25.74482043108365,34.945189693403286,1.1111111111111112,49.36515106024792,121.79513888888889,65.39883913242001,330.8895260783974,153.58991666666665,3
T16,90.0329,124.60824142619991,179.0002111111111,99.06317777777777,17.595444418308308,62.18806855744515,1.3333333333333333,34.82208165690035,105.44097222222223,48.842610577477004,281.65117817983236,274.2859666666666,4
T1,61.28234444444445,122.48190592064257,251.08634999999998,99.91284999999999,34.99730734062436,50.01522401380004,1.0,52.27076562650577,134.05555555555554,54.5328475661446,340.6062070032019,299.83500555555554,4
T7,82.47416111111112,122.08673990604954,209.10116666666667,99.80391666666667,22.336295298357975,55.11482464006503,1.1111111111111112,42.099836513743426,114.9375,40.66030239631617,242.4872652454087,305.7719166666667,4
