section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T11,106.06036666666667,128.84146981694337,191.3252666666667,99.47713333333333,29.18530368241805,41.128798999574286,2.6666666666666665,28.907287361876868,90.0,60.420834424023184,384.58168248013436,187.45393333333337,0
T14+T15,120.19276666666667,152.95492615800865,242.76086666666666,100.0,34.11399816017316,31.895500216450216,2.6666666666666665,27.056408069318184,53.333333333333336,63.76115474788006,310.0559586005893,214.77633333333355,0
T5,128.17833333333334,142.97883244151808,187.89199999999997,98.69279999999999,29.831607404485073,42.164001573827186,3.0,22.862675335352595,68.0,45.139161910064274,163.36701956424227,179.39206666666664,0
T3,75.34396666666667,93.35294865454291,154.3221,91.634,24.292528111993686,28.590543800167225,1.6666666666666667,47.17130147105803,112.66666666666667,53.587939798077166,386.15983775497983,156.0772333333333,1
T1,55.222366666666666,117.79446644299453,249.19253333333333,100.0,39.16484650727745,44.06383862410204,1.3333333333333333,46.922264728204595,125.66666666666667,54.38591620403224,520.5068630884534,302.4292,1
T16,89.57046666666668,119.57689077733859,169.36496666666667,96.73203333333333,14.633866389172226,58.76097508978282,1.6666666666666667,28.965773461882875,91.00259999999999,43.131355632458764,255.60515848739328,277.6980000000006,2
T7,77.84643333333334,119.42939415695939,206.22313333333332,100.0,26.37898934811828,53.59620340501792,1.6666666666666667,34.8847347865411,107.0,37.00019112404917,282.5357970950566,310.0632666666667,2
T12,114.41216666666666,137.9969485042831,180.6821,82.8758,6.097231662177833,64.87346974002169,2.3333333333333335,30.49628926820513,87.0,38.4047192069575,227.61400205452773,259.36016666666654,2
T4,92.03989999999999,117.72578237072294,158.2208,0.0,0.0,77.31212272882924,2.0,36.25582861692313,94.33333333333333,64.81911009269434,602.7513712603519,168.99646666666658,3
T2,101.14186666666667,117.55612036059351,151.9748,16.601333333333333,1.5638042770876466,53.71700343110191,2.6666666666666665,36.64223666917999,111.33333333333333,53.59874586254991,422.69504558761486,205.74250000000004,3
T6,88.18953333333333,113.4984086571646,161.76596666666669,58.039233333333335,4.514722264247293,62.049717368937365,1.6666666666666667,38.336723983619216,102.33333333333333,51.92043109413519,293.5442947386002,194.35833333333326,3
T13,218.13026666666667,228.9267606587184,238.59006666666664,0.0,0.0,99.6078,5.0,9.460520689355983,26.333333333333332,20.107559440736967,68.98137569337592,265.5427333333337,4
T9+T10,146.30096666666665,170.02715555788708,197.67806666666664,5.8823333333333325,0.3193540200138026,68.39662058829016,3.6666666666666665,29.10961120843938,59.0026,38.42163168260353,282.8182044965716,373.5488,4
