section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T10+T11,72.10652,104.52902899731714,163.87274,97.0196,12.58591504250077,52.539090140576434,1.8,72.21704427612252,124.0,61.148236776057004,423.8143798134585,311.3849200000001,0
T2,89.0959,114.91371275862068,134.18782,86.90198000000001,18.137078004310347,39.316774284482754,2.0,51.73409701170296,93.4,62.52169858746125,282.397246618755,132.7958,0
T3,71.21386,100.57112479953638,156.33326,16.39216,0.737835925925926,71.74242963358094,1.8,53.68686279909696,122.6,46.92069441716861,465.84411929049577,210.93575999999993,1
T8,84.78982,109.99325095238096,150.48448000000002,58.352940000000004,4.257819389880952,64.62550456845239,2.0,49.20579653778272,111.6,50.72520735948133,268.94620519346984,173.14532,1
T9,85.59548,119.71877611138129,174.57236,54.27452000000001,3.1130086066660985,68.74401855351644,1.8,38.1086796743263,101.6,50.559776849494355,376.2371795831665,278.08021999999994,1
T1,80.99336,122.9945216023755,208.01860000000002,94.35294,21.169557814863246,55.49311104783699,2.2,48.43203336712332,118.0,39.271577866464256,217.65673273013257,328.01002,2
T12,120.2243,163.8583104956942,211.24589999999998,0.0,0.0,84.31703742127984,2.6,36.16530357469324,102.6,55.04982342534991,428.37811620202604,514.52754,3
T4+T5,170.22658,209.71857381886088,225.01718,88.62746,14.39600988354601,76.70955800835148,3.8,29.584642772430385,51.2,46.011090991215,182.09193964283546,406.31080000000003,3
T7,124.48922,140.59202597402597,161.42672,85.72547999999999,11.481221478354978,66.0603539112554,2.8,24.157583662964225,78.6,46.94663312505838,183.97595674374853,183.01602000000003,3
T6,145.58786,162.47110102573725,188.89906000000002,57.647059999999996,3.902099718287103,69.250839626763,3.6,41.19670126737809,91.2,48.44018895656371,273.13749934558575,301.87579999999997,3
